date,open,high,low,close,volume,turn
2016-06-21,256.5681091,257.4016035,252.8266452,253.5767902,1674933,0.13333354
2016-06-22,253.539746,258.7166725,252.613641,257.864656,2088448,0.166251525
2016-06-23,259.2815965,259.2815965,254.5677224,256.0124461,1398451,0.111324108
2016-06-24,254.9381644,256.5310649,247.4552366,253.539746,2012951,0.160241564
2016-06-27,254.678855,270.7004703,254.678855,266.4218655,6364269,0.506629529
2016-06-28,265.8106362,268.2555532,265.1623628,266.9127011,2428223,0.193299415
2016-06-29,266.3014719,268.0610712,263.1990203,266.884918,2814760,0.224069808
2016-06-30,268.588951,276.1644893,268.588951,270.3485504,3802240,0.302678448
2016-07-01,271.7204127,276.1481687,268.6928872,270.7459279,2601495,0.207092784
2016-07-04,271.5311924,279.4784468,270.5850907,278.0592942,2948864,0.234745197
2016-07-05,279.1283891,286.76343,279.1283891,284.3792537,4170773,0.332015627
2016-07-06,283.6412943,300.8603455,282.893874,300.0940032,4734770,0.376912776
2016-07-07,298.7789218,309.1860406,295.2594234,299.8290947,5072520,0.403799465
2016-07-08,296.6312709,298.4950913,289.6585012,293.2063827,4554563,0.362567344
2016-07-11,292.3738132,306.5369558,292.3738132,298.1544946,5748167,0.457584546
2016-07-12,298.7410777,308.9968203,298.0220404,307.2276101,5311945,0.422858964
2016-07-13,305.6192372,307.2276101,298.0693455,300.0940032,5344828,0.425476625
2016-07-14,299.0532913,303.5094304,298.2112607,299.999393,2923085,0.232693052
2016-07-15,300.027776,300.8887286,298.0788065,300.4062167,2681101,0.213429844
2016-07-18,300.3872947,302.2794981,298.6464675,299.1668235,2335289,0.185901376
2016-07-19,298.4950913,299.2519726,289.0813792,291.5033996,4143166,0.329817963
2016-07-20,291.9859115,294.1146403,290.9262775,291.9291454,1773384,0.141170761
2016-07-21,293.4334471,300.4819049,292.3454301,297.4354573,3300949,0.262773028
2016-07-22,296.0352268,298.2112607,290.8127453,291.3236403,2887145,0.229832038
